ComuneCercaOLD,Comune_residenza_old_MANUALE,appoggio,Comune_residenza,Frequenza sinistri 2021,Costo Medio Totale 2021,Veicoli Anno 2021,Frequenza sinistri 2020,Costo Medio totale 2020,Veicoli Anno 2020,Frequenza sinistri 2019,Costo Medio totale 2019,Veicoli Anno 2019,Frequenza sinistri 2018,Costo Medio totale 2018,Veicoli Anno 2018,Regione,Provincia,Zona
Genova,,,Genova,0.075435786,3576.424238,183109.3808,0.066822002,3416.266239,181781.4426,0.091491297,3001.684379,184094.0137,0.094600022,3027.20668,178805.4548,Liguria,Genova,Nord-ovest
Calvignasco,,,Calvignasco,0.031541652,2849.117647,538.969863,0.033916161,2576.105263,560.204918,0.060910666,3016.382353,558.1945205,0.051161906,2564.392857,547.2821918,Lombardia,Milano,Nord-ovest
Presezzo,,,Presezzo,0.039164318,26161.19101,2272.476712,0.038648551,1787.804598,2251.054645,0.054760207,2758.392,2282.679452,0.066669691,1676.577181,2234.89863,Lombardia,Bergamo,Nord-ovest
Seriate,,,Seriate,0.046781976,2355.980507,10965.76164,0.034374103,3222.321809,10938.46721,0.058788078,4299.088647,10937.59178,0.056598387,2305.127483,10671.68219,Lombardia,Bergamo,Nord-ovest
Perugia,,,Perugia,0.051478327,3986.556119,88095.32603,0.045120662,3576.715749,86545.71585,0.066343373,2909.04148,87574.68493,0.064559624,3405.844304,88244.00822,Umbria,Perugia,Centro
Viterbo,,,Viterbo,0.048762985,4201.434579,35108.59726,0.042877338,2804.938735,35403.31694,0.05875528,3943.689423,35401.07397,0.060222955,2946.839698,35219.12877,Lazio,Viterbo,Centro
Villa Sant'Angelo,,,Villa Sant'Angelo,0.034124587,1953.6,293.0438356,0.031470335,1124.222222,285.9836066,0.034829574,2080.6,287.1123288,0.058260176,2363.133333,257.4657534,Abruzzo,L'Aquila,Sud
Venezia,,,Venezia,0.039502538,4539.464286,69463.89041,0.032832885,4532.158569,68955.25683,0.049082864,4365.362198,70819.0137,0.049267084,4130.522741,67834.33699,Veneto,Venezia,Nord-est
Pagnacco,,,Pagnacco,0.035570492,2601.2,2951.884932,0.030635733,3270.144444,2937.745902,0.048455136,4929,2951.183562,0.048253884,3162.932331,2756.254795,Friuli-Venezia Giulia,Udine,Nord-est
Lipari,,,Lipari,0.030173629,8494.928571,5103.794521,0.027778677,2151.514706,4895.84153,0.037762905,2505.102151,4925.468493,0.044074564,2331.630841,4855.408219,Sicilia,Messina,Isole
San Giovanni Gemini,,,San Giovanni Gemini,0.029047348,2572.490909,3786.920548,0.025996588,1991.114583,3692.79235,0.03087642,2005.495575,3659.750685,0.038185923,2062.839695,3430.583562,Sicilia,Agrigento,Isole
Foggia,,,Foggia,0.045784277,6361.777501,61352.93973,0.042738,4521.538701,60157.2377,0.057414208,4640.080782,59723.89315,0.056278156,3633.374361,59046,Puglia,Foggia,Sud
Taranto,,,Taranto,0.04734156,3643.968669,73487.2274,0.043483672,3536.340814,71728.07377,0.05877604,3491.408085,70709.08493,0.060995241,3077.216324,70103.83014,Puglia,Taranto,Sud
Galgagnano,,,Galgagnano,0.03804362,4009.083333,630.8547945,0.026428259,2115.1875,605.4125683,0.048396757,1931.137931,599.2136986,0.043636903,1503.88,572.909589,Lombardia,Lodi,Nord-ovest
Tonengo,,,Tonengo,0.054628452,2347,109.8328767,0.042216968,955.5,94.74863388,0.033697492,3486,89.02739726,0.025157666,2848,79.49863014,Piemonte,Asti,Nord-ovest
Garzigliana,,,Garzigliana,0.033276146,1760.909091,330.5671233,0.023969743,11009.875,333.7540984,0.03360395,2995.727273,327.3424658,0.041734832,875.0769231,311.490411,Piemonte,Torino,Nord-ovest
Castelnuovo Bozzente,,,Castelnuovo Bozzente,0.028749439,2793.8,347.8328767,0.030072155,1159,365.7868852,0.069993633,2952.24,357.1753425,0.037386688,2859.666667,320.969863,Lombardia,Como,Nord-ovest
Santa Giuletta,,,Santa Giuletta,0.04328876,3230.84375,739.2219178,0.033260874,7629.24,751.6338798,0.046642222,7920.222222,771.8328767,0.050516342,1660.615385,772.0273973,Lombardia,Pavia,Nord-ovest
Camagna Monferrato,,,Camagna Monferrato,0.01211578,939,247.6109589,0.035832391,5244.555556,251.1693989,0.03834235,1793,260.8082192,0.037426685,6675.1,267.1890411,Piemonte,Alessandria,Nord-ovest
Lazzate,,,Lazzate,0.039027146,4142.574194,3971.594521,0.037771573,12571.87333,3971.240437,0.053691118,7628.948598,3985.761644,0.053829691,6301.772512,3919.769863,Lombardia,Monza e della Brianza,Nord-ovest
Zoppè di Cadore,,,Zoppè di Cadore,0.027538164,930.3333333,108.939726,0.010406597,1425,96.09289617,0.011079071,816,90.26027397,0.080823738,2253,86.60821918,Veneto,Belluno,Nord-est
Brindisi,,,Brindisi,0.049605347,3752.396051,34714,0.041458821,3563.096932,34588.53825,0.059124217,4748.649225,34909.55342,0.06128131,6348.366635,34627.19726,Puglia,Brindisi,Sud
Luzzana,,,Luzzana,0.023056427,2964.272727,477.090411,0.028246273,1482,460.2377049,0.046757542,4721.090909,470.5123288,0.062918316,1928.655172,460.9150685,Lombardia,Bergamo,Nord-ovest
Monte Cremasco,,,Monte Cremasco,0.038971731,3008.315789,975.0657534,0.026330571,59770.53846,987.4453552,0.04540441,2370.088889,991.0931507,0.05670807,2988,1005.147945,Lombardia,Cremona,Nord-ovest
Guastalla,,,Guastalla,0.034788227,3220.715867,7789.991781,0.026115498,2783.169154,7696.579235,0.048834029,3306.5,7740.50411,0.041532014,5758.225705,7680.821918,Emilia-Romagna,Reggio nell'Emilia,Nord-est
San Gemini,,,San Gemini,0.041145502,4322.489362,2284.575342,0.036988987,2938.348837,2325.016393,0.055553121,13103.09091,2376.10411,0.05408816,3863.664063,2366.506849,Umbria,Terni,Centro
Arcinazzo Romano,,,Arcinazzo Romano,0.050865458,2271,570.1315068,0.037141935,3376.818182,592.3224044,0.038816142,4184.478261,592.5369863,0.052091965,2069.290323,595.1013699,Lazio,Roma,Centro
Marano Equo,,,Marano Equo,0.021568439,1452.75,370.9123288,0.020640941,6066,387.579235,0.028356522,4542.545455,387.9178082,0.048723425,5065.631579,389.9561644,Lazio,Roma,Centro
Casandrino,,,Casandrino,0.066917122,3848.9625,3586.526027,0.066065379,3285.191667,3632.765027,0.094015438,3159.139942,3648.336986,0.094012968,5192.826347,3552.70137,Campania,Napoli,Sud
Buonabitacolo,,,Buonabitacolo,0.030054757,3369.78125,1064.723288,0.024539244,3043.307692,1059.527322,0.030432041,3564.5625,1051.523288,0.029895366,4488.958333,802.8,Campania,Salerno,Sud
Dolzago,,,Dolzago,0.028602774,2491.588235,1188.69589,0.033831757,1790.690476,1241.437158,0.062827647,2281.341772,1257.408219,0.061753701,1475.807692,1263.082192,Lombardia,Lecco,Nord-ovest
San Basilio,,,San Basilio,0.038223352,1796.5,575.5643836,0.046000793,1973.538462,565.2076503,0.055060023,52802.90323,563.0219178,0.054967596,2497.931034,527.5835616,Sardegna,Sud Sardegna,Isole
Carosino,,,Carosino,0.040174908,6781.801653,3011.830137,0.032157184,2628.072917,2985.336066,0.046926438,3592.656934,2919.463014,0.045258644,3372.765625,2828.189041,Puglia,Taranto,Sud
Baressa,,,Baressa,0.031110311,2441.333333,289.2931507,0.023792719,2525.571429,294.2076503,0.026163937,19828.125,305.7643836,0.032036372,1861.2,312.1452055,Sardegna,Oristano,Isole
Pompu,,,Pompu,0.016314672,2069,122.5890411,0.008124306,739,123.0874317,0.032901408,1504.25,121.5753425,0.023847896,1628,125.7972603,Sardegna,Oristano,Isole
Padergnone,Padergnone,,Vallelaghi,0.041552271,2550.375,2887.928767,0.034931722,2518.373626,2605.081967,0.060858141,2344.746988,1363.827397,0.071376102,2166.448718,1092.80274,,,
Drena,,,Drena,0.0227762,2097.75,351.2438356,0.024763822,4345.625,323.0519126,0.044089352,2255,317.5369863,0.041532819,2417,313.0054795,Trentino-Alto Adige/Südtirol,Trento,Nord-est
Feisoglio,,,Feisoglio,0.034180145,1273.571429,204.7972603,0.021650399,12718.25,184.7540984,0.046625506,1742.111111,193.0273973,0.036850607,3782.571429,189.9561644,Piemonte,Cuneo,Nord-ovest
Capriglio,,,Capriglio,0.030679359,9355.25,130.3808219,0.014842752,625,134.7459016,0.067054501,1349.444444,134.2191781,0.051737405,1825.142857,135.2986301,Piemonte,Asti,Nord-ovest
Strambinello,,,Strambinello,0.014241124,4394.5,140.4383562,0.014262333,8669.5,140.2295082,0.0476688,2523.142857,146.8465753,0.044636488,1277.666667,134.4191781,Piemonte,Torino,Nord-ovest
Villanova Canavese,,,Villanova Canavese,0.054801148,3222.333333,656.9205479,0.044359872,2687.966667,676.2868852,0.074989727,2726.568627,680.0931507,0.058208003,2538.282051,670.0109589,Piemonte,Torino,Nord-ovest
Ghislarengo,,,Ghislarengo,0.028008339,1853.583333,428.4438356,0.028697067,1745.416667,418.1612022,0.036840777,2035.625,434.3013699,0.045449183,3053.421053,418.0493151,Piemonte,Vercelli,Nord-ovest
Colazza,,,Colazza,0.036709914,1728.181818,299.6465753,0.040713034,2361.583333,294.7459016,0.052625002,2131.8,285.0356164,0.042440066,1731.363636,259.1890411,Piemonte,Novara,Nord-ovest
Fara Novarese,,,Fara Novarese,0.030475157,1889.25,1050.035616,0.017066208,2890.5,1054.715847,0.038840167,1482.439024,1055.608219,0.03894154,2270.487805,1052.860274,Piemonte,Novara,Nord-ovest
Paderno Dugnano,,,Paderno Dugnano,0.052291721,4396.824762,20079.66027,0.038500577,2950.143219,20493.19945,0.063137723,4429.646519,20700.77808,0.063268828,3104.73098,20152.10411,Lombardia,Milano,Nord-ovest
Pogliano Milanese,,,Pogliano Milanese,0.052490772,6258.761905,3600.632877,0.030526578,2802.52381,3439.625683,0.060745622,4350.427885,3424.115068,0.065691896,1896.668182,3348.967123,Lombardia,Milano,Nord-ovest
San Giorgio su Legnano,,,San Giorgio su Legnano,0.05117211,2047.690476,3283.038356,0.038337377,5004.299213,3312.693989,0.069272122,3922.145374,3276.931507,0.059362308,2339.77957,3133.30137,Lombardia,Milano,Nord-ovest
Montefalcone di Val Fortore,,,Montefalcone di Val Fortore,0.023978748,2005.375,667.2575342,0.024108978,3709,622.1748634,0.03390917,10044.15,589.8109589,0.03204456,5555.888889,561.7178082,Campania,Benevento,Sud
Paladina,,,Paladina,0.043497849,3526.670732,1885.150685,0.034917547,2108.089552,1918.806011,0.059027509,2158.938053,1914.361644,0.050211808,2118.945652,1832.238356,Lombardia,Bergamo,Nord-ovest
Ferrara,,,Ferrara,0.037665758,4068.878762,61753.70137,0.032890009,6462.134787,61356.01913,0.050233122,5831.176603,62110.4137,0.050054557,3406.886945,61672.70685,Emilia-Romagna,Ferrara,Nord-est
Città di Castello,,,Città di Castello,0.036574904,3440.051661,22228.35616,0.031921202,6771.917251,22336.25137,0.048188946,4390.706801,22577.79178,0.046938577,3319.501523,20984.87123,Umbria,Perugia,Centro
Porto Torres,,,Porto Torres,0.046568338,2862.962264,7966.786301,0.040355769,3194.945619,8202.04918,0.056042829,2791.123932,8350.756164,0.053746183,6146.16,8372.687671,Sardegna,Sassari,Isole
Sassari,,,Sassari,0.055616835,4127.716805,54030.40274,0.047019589,4006.469685,54020.03825,0.063266364,3620.955433,54262.6411,0.06055561,3225.269006,56477.0137,Sardegna,Sassari,Isole
Casalzuigno,,,Casalzuigno,0.047084833,4021.517241,615.909589,0.041838843,1026,645.3333333,0.039253221,4046.92,636.890411,0.046356401,2452.185185,582.4438356,Lombardia,Varese,Nord-ovest
Lozza,,,Lozza,0.044747905,1868.419355,692.769863,0.036702768,1903.333333,735.6393443,0.055390522,2913.375,722.1452055,0.065709774,1635.4375,730.4849315,Lombardia,Varese,Nord-ovest
Alserio,,,Alserio,0.061238528,2513.2,653.1835616,0.033276185,2087.333333,631.0819672,0.062062886,1909.973684,612.2821918,0.056607703,3842.314286,618.290411,Lombardia,Como,Nord-ovest
Grandate,,,Grandate,0.036655299,2313.061224,1336.778082,0.035146825,3349.208333,1365.699454,0.062211265,1772.616279,1382.386301,0.056858528,2256.74026,1354.238356,Lombardia,Como,Nord-ovest
Laglio,,,Laglio,0.057891976,7644.115385,449.1123288,0.040392645,2231.722222,445.6256831,0.073955596,2567.69697,446.2136986,0.074389219,3776.4375,430.169863,Lombardia,Como,Nord-ovest
Rea,,,Rea,0.042013045,1315.555556,214.2191781,0.017989899,1765,222.3469945,0.050061096,1062,219.7315068,0.018373331,758.75,217.7068493,Lombardia,Pavia,Nord-ovest
Verano Brianza,,,Verano Brianza,0.048292809,3077.28169,4410.594521,0.037576089,7148.201183,4497.540984,0.063570147,2341.688811,4498.967123,0.064037318,2246.880866,4325.60274,Lombardia,Monza e della Brianza,Nord-ovest
Cavenago di Brianza,,,Cavenago di Brianza,0.047105276,2284.222222,3248.043836,0.039903627,6473.628788,3307.969945,0.056452433,2137.331551,3312.523288,0.049861902,2107.424242,3309.139726,Lombardia,Monza e della Brianza,Nord-ovest
Castel Rozzone,,,Castel Rozzone,0.037874386,1811.32,1320.153425,0.025280454,1945,1344.912568,0.052073249,2247.114286,1344.260274,0.057987439,8443.64,1293.383562,Lombardia,Bergamo,Nord-ovest
Montebello sul Sangro,,,Montebello sul Sangro,0.028625206,1077,34.93424658,0,0,42.02459016,0.023970579,655,41.71780822,0.076584138,1336.666667,39.17260274,Abruzzo,Chieti,Sud
Cavernago,,,Cavernago,0.039514053,2471.4,1265.372603,0.03589459,2162.568182,1225.811475,0.043990604,1653.132075,1204.80274,0.055842926,2191.047619,1128.164384,Lombardia,Bergamo,Nord-ovest
Cenate Sotto,,,Cenate Sotto,0.045464204,2463.658824,1869.60274,0.028877545,2986.471698,1835.336066,0.050560411,1752.608696,1819.605479,0.051846351,1572.141304,1774.473973,Lombardia,Bergamo,Nord-ovest
Fonteno,,,Fonteno,0.031688154,5069.2,315.5753425,0.020985723,1870.285714,333.5601093,0.048520297,7244.6875,329.7589041,0.05433569,2100.222222,331.2739726,Lombardia,Bergamo,Nord-ovest
Foresto Sparso,,,Foresto Sparso,0.053729783,5570.83908,1619.213699,0.030843655,2178.851064,1523.814208,0.071856104,9810.568807,1516.920548,0.056372602,1906.188235,1507.824658,Lombardia,Bergamo,Nord-ovest
Gandosso,,,Gandosso,0.050640882,1975,770.1287671,0.043467169,4106,621.1584699,0.043555158,1884.642857,642.8630137,0.059095488,8662.833333,609.1835616,Lombardia,Bergamo,Nord-ovest
Levate,,,Levate,0.04643312,2210.926829,1765.980822,0.03522782,1992.193548,1759.972678,0.045066527,2392.175,1775.153425,0.051602048,1920.846154,1763.49589,Lombardia,Bergamo,Nord-ovest
Misano di Gera d'Adda,,,Misano di Gera d'Adda,0.034780483,4578.630435,1322.580822,0.028206548,2603.605263,1347.204918,0.042684894,2000.896552,1358.794521,0.038978909,6055.269231,1334.054795,Lombardia,Bergamo,Nord-ovest
Mozzo,,,Mozzo,0.043980224,1978.713376,3569.786301,0.034300369,2379.471545,3585.967213,0.06484032,5265.769874,3685.978082,0.061638177,2120.147982,3617.887671,Lombardia,Bergamo,Nord-ovest
Terno d'Isola,,,Terno d'Isola,0.046844045,2461.290909,3522.326027,0.033514949,2567.40678,3520.81694,0.054946931,2215.185567,3530.679452,0.062207048,3718.046512,3456.2,Lombardia,Bergamo,Nord-ovest
Moscazzano,,,Moscazzano,0.021496963,134532.4286,325.6273973,0.018738321,1853.166667,320.1994536,0.081223575,2495.807692,320.1041096,0.042854747,1696.714286,326.6849315,Lombardia,Cremona,Nord-ovest
Torlino Vimercati,,,Torlino Vimercati,0.036125201,1693.25,221.4520548,0.013356527,1191,224.6092896,0.069446922,1959.75,230.3917808,0.044437951,1496.4,225.0328767,Lombardia,Cremona,Nord-ovest
Taurano,,,Taurano,0.034931305,3769.6,715.690411,0.032677303,4004.217391,703.852459,0.065112244,3931.181818,675.7561644,0.039522729,4715.807692,657.8493151,Campania,Avellino,Sud
Cappelle sul Tavo,,,Cappelle sul Tavo,0.051566364,2395.683168,1958.641096,0.042492656,2441.329114,1859.144809,0.059744036,9359.036036,1857.926027,0.063877334,2384.666667,1831.635616,Abruzzo,Pescara,Sud
Agrigento,,,Agrigento,0.04656991,4818.685571,25746.23836,0.04068826,4137.925781,25166.96448,0.054906516,3152.860889,25006.13973,0.05493561,2484.331339,24337.58356,Sicilia,Agrigento,Isole
Fanna,,,Fanna,0.028851759,2015.541667,831.8383562,0.020375216,2678.705882,834.3469945,0.0388921,2440.939394,848.5013699,0.041296954,5152.272727,799.090411,Friuli-Venezia Giulia,Pordenone,Nord-est
Ronchi Valsugana,,,Ronchi Valsugana,0.035884579,6101.9,278.6712329,0.041765652,1863.545455,263.3743169,0.023531434,1297.333333,254.9780822,0.012936381,839,231.9041096,Trentino-Alto Adige/Südtirol,Trento,Nord-est
Ello,,,Ello,0.042000086,1667.875,571.4273973,0.037354925,1753.47619,562.1748634,0.056205458,4511.09375,569.339726,0.043981203,1588,522.9506849,Lombardia,Lecco,Nord-ovest
Malgrate,,,Malgrate,0.03811895,2781.550725,1810.123288,0.032548957,3037.65,1843.377049,0.053123144,1859,1863.594521,0.062557161,1679.784483,1854.30411,Lombardia,Lecco,Nord-ovest
Vercurago,,,Vercurago,0.045531441,2845.596491,1251.882192,0.025543664,2057.71875,1252.756831,0.059638274,2026.320513,1307.884932,0.052319821,2418.897059,1299.69863,Lombardia,Lecco,Nord-ovest
Sordio,,,Sordio,0.04628692,2219.089552,1447.493151,0.04563089,2631.191176,1490.218579,0.060182132,2461.428571,1512.076712,0.060318174,2425.44186,1425.772603,Lombardia,Lodi,Nord-ovest
Albiate,,,Albiate,0.050400251,3002.363014,2896.810959,0.034695298,2039.333333,2853.412568,0.061202326,2064.627907,2810.350685,0.060618915,1808.728916,2738.419178,Lombardia,Monza e della Brianza,Nord-ovest
Cimone,,,Cimone,0.045556665,1940.947368,417.0630137,0.064743388,3995.782609,355.2486339,0.068263088,3948.24,366.230137,0.038301032,2007.615385,339.4164384,Trentino-Alto Adige/Südtirol,Trento,Nord-est
Cagnò,Cagnò,,Novella,0.041311965,2539.702128,2275.369863,0.028745547,2492.559322,2052.491803,0.040324251,1630.25,198.3917808,0.036251419,1586.142857,193.0958904,Trentino-Alto Adige/Südtirol,Trento,Nord-est
Ronzo-Chienis,,,Ronzo-Chienis,0.026242002,1741.6,571.6027397,0.017078242,4274.888889,526.9863388,0.030360058,2237.8125,527.0082192,0.039368592,2404.25,508.0191781,Trentino-Alto Adige/Südtirol,Trento,Nord-est
Campitello di Fassa,,,Campitello di Fassa,0.020163379,2011.25,396.7589041,0.028963589,1627.555556,310.7349727,0.039170445,1738.666667,306.3534247,0.066203144,2808.444444,271.890411,Trentino-Alto Adige/Südtirol,Trento,Nord-est
Cloz,Cloz,,Novella,0.041311965,2539.702128,2275.369863,0.028745547,2492.559322,2052.491803,0.03113564,1779.4,321.1753425,0.054383816,2284.277778,330.9808219,Trentino-Alto Adige/Südtirol,Trento,Nord-est
Cavedine,,,Cavedine,0.035264807,4344.459016,1729.769863,0.026843718,1816.65,1490.106557,0.03308311,3290.44,1511.345205,0.036108226,2487.26,1384.726027,Trentino-Alto Adige/Südtirol,Trento,Nord-est
Camo,,,Camo,0,0,0,0,0,0,0.088980985,6942.4,56.19178082,0.032906599,3304.666667,91.16712329,Piemonte,Cuneo,Nord-ovest
Monchiero,,,Monchiero,0.021573379,2772.142857,324.4739726,0.015407931,2487.8,324.5081967,0.066672202,1537,329.9726027,0.053473401,1633.705882,317.9150685,Piemonte,Cuneo,Nord-ovest
Torresina,,,Torresina,0.039842812,9328,25.09863014,0,0,25.36612022,0.039656671,329,25.21643836,0.167623421,1851.75,23.8630137,Piemonte,Cuneo,Nord-ovest
Loranzè,,,Loranzè,0.033363222,1981.52381,629.4356164,0.023324581,1518.266667,643.0983607,0.036033291,1999.869565,638.2986301,0.047735506,2915.9,628.4630137,Piemonte,Torino,Nord-ovest
Vidracco,,,Vidracco,0.033093369,3897.3,302.1753425,0.035738697,179246.4545,307.7896175,0.041519373,2118.615385,313.1068493,0.035964134,860.8181818,305.860274,Piemonte,Torino,Nord-ovest
Sillavengo,,,Sillavengo,0.034566775,3345.818182,318.2246575,0.037942533,1474.25,316.2677596,0.031686228,1884.5,315.5945205,0.032150942,6452.4,311.0328767,Piemonte,Novara,Nord-ovest
Novate Milanese,,,Novate Milanese,0.04554317,3169.180371,8277.860274,0.036695825,4165.919094,8420.576503,0.053733868,2412.015251,8542.09863,0.055140776,2724.117137,8360.419178,Lombardia,Milano,Nord-ovest
San Nazzaro,,,San Nazzaro,0.034769037,2731.153846,373.8958904,0.026601157,1152.1,375.9234973,0.047877922,1148.166667,375.9561644,0.041145662,3123.769231,315.9506849,Campania,Benevento,Sud
Sant'Arcangelo Trimonte,,,Sant'Arcangelo Trimonte,0.040780604,2239.444444,220.6931507,0.013421506,3787.333333,223.5218579,0.046668627,3560.3,214.2767123,0.066874313,2849,209.3479452,Campania,Benevento,Sud
Sasso di Castalda,,,Sasso di Castalda,0.01485358,1609.8,336.6191781,0.008904171,7180.333333,336.920765,0.01709722,1244,350.9342466,0.041045248,1012,194.9068493,Basilicata,Potenza,Sud
Dizzasco,,,Dizzasco,0.059635364,2445,285.0657534,0.019890223,1198.833333,301.6557377,0.075076015,2079.826087,306.3561644,0.076102328,2212.652174,302.2246575,Lombardia,Como,Nord-ovest
Gironico,Gironico,,Colverde,0.042302833,2392.245455,2600.29863,0.038947493,2545.564356,2593.234973,0.053681929,2496.531915,1751.054795,0.06690478,2254.087379,1539.50137,,,
Lasnigo,,,Lasnigo,0.037903372,4443.5,211.0630137,0.013962538,1934.666667,214.8606557,0.061826521,2449.307692,210.2657534,0.050624771,3267.636364,217.2849315,Lombardia,Como,Nord-ovest
Pedesina,,,Pedesina,0.125099966,1720,23.98082192,0,0,17.19672131,0,0,16.63287671,0,0,17.26027397,Lombardia,Sondrio,Nord-ovest
Almè,,,Almè,0.042525839,2555.076923,2751.268493,0.041291424,1762.547826,2785.081967,0.058337521,2525.36875,2742.660274,0.057298314,2289.143791,2670.235616,Lombardia,Bergamo,Nord-ovest
Arcene,,,Arcene,0.037523781,2172.882353,2265.230137,0.034997255,2236.691358,2314.467213,0.04066327,1979.085106,2311.668493,0.060331712,3126.840909,2187.90411,Lombardia,Bergamo,Nord-ovest
Torricella Verzate,,,Torricella Verzate,0.043334758,2161.05,461.5232877,0.034178057,1631.75,468.136612,0.035150629,3273.705882,483.6328767,0.047321308,2410.863636,464.9068493,Lombardia,Pavia,Nord-ovest
Carbonara Scrivia,,,Carbonara Scrivia,0.052600261,2403,589.3506849,0.047673764,2449.142857,587.3251366,0.050774602,1857.533333,590.8465753,0.064404904,2308.783784,574.490411,Piemonte,Alessandria,Nord-ovest
Pietra Marazzi,,,Pietra Marazzi,0.040651413,2391.111111,442.7890411,0.039500192,1446,455.6939891,0.066191013,2857.90625,483.4493151,0.047103128,1726.954545,467.060274,Piemonte,Alessandria,Nord-ovest
Zumaglia,,,Zumaglia,0.031440805,2061.823529,540.6986301,0.048130127,1701.730769,540.2021858,0.049354337,2246.142857,567.3260274,0.06322223,1270.4,553.6027397,Piemonte,Biella,Nord-ovest
Costarainera,,,Costarainera,0.054103464,1987.190476,388.1452055,0.033547914,1107.384615,387.5054645,0.036095252,2813.066667,415.5671233,0.062998712,2251.5,412.7068493,Liguria,Imperia,Nord-ovest
Zovencedo,,,Zovencedo,0.018784537,1697.75,425.8821918,0.025764916,2679.818182,426.9371585,0.048164472,7727.05,415.2438356,0.043207598,2496.705882,393.4493151,Veneto,Vicenza,Nord-est
Rivamonte Agordino,,,Rivamonte Agordino,0.019013953,2446.142857,368.1506849,0.031374297,1589.6,318.7322404,0.021660986,13493.42857,323.1616438,0.031676329,2427.8,315.6931507,Veneto,Belluno,Nord-est
Aiello del Friuli,,,Aiello del Friuli,0.018909872,2239.869565,1216.29589,0.028389634,2616.147059,1197.620219,0.027477416,2882.636364,1200.986301,0.038337407,2557.227273,1147.70411,Friuli-Venezia Giulia,Udine,Nord-est
Zandobbio,,,Zandobbio,0.03698665,3162.680851,1270.728767,0.042806545,2348.207547,1238.128415,0.052476915,2386.772727,1257.69589,0.047175067,1661.155172,1229.463014,Lombardia,Bergamo,Nord-ovest
Villa Vicentina,Villa Vicentina,,Fiumicello Villa Vicentina,0.025909678,2892.073684,3666.583562,0.023845563,5075.988372,3606.540984,0.034439019,4441.403226,3600.567123,0.040408658,2307.362903,3068.649315,Friuli-Venezia Giulia,Udine,Nord-est
Sanguinetto,,,Sanguinetto,0.029935603,3120.178571,1870.682192,0.032218262,1820.220339,1831.259563,0.049324617,13383.42857,1844.920548,0.045832558,10832.04819,1810.939726,Veneto,Verona,Nord-est
San Pietro Mussolino,,,San Pietro Mussolino,0.039767967,3609.413793,729.230137,0.037468329,2119.571429,747.2978142,0.050877462,1498.2,786.2027397,0.055192105,1967,616.030137,Veneto,Vicenza,Nord-est
Cavriago,,,Cavriago,0.041612586,4627.866667,4686.082192,0.034854483,2955.204819,4762.65847,0.058883776,6111.535211,4823.060274,0.055727682,2540.505703,4719.378082,Emilia-Romagna,Reggio nell'Emilia,Nord-est
Gambettola,,,Gambettola,0.037092849,2945.378788,5337.956164,0.029015245,3085.090909,5307.554645,0.040184224,2743.895238,5225.931507,0.042925248,9134.71028,4985.410959,Emilia-Romagna,Forlì-Cesena,Nord-est
Chiesina Uzzanese,,,Chiesina Uzzanese,0.045388413,4191.311111,1982.884932,0.03471045,5940.722222,2074.303279,0.065934262,4708.957746,2153.660274,0.07123111,5203.62069,2035.627397,Toscana,Pistoia,Centro
Gatteo,,,Gatteo,0.041723402,2675.227979,4625.70137,0.033700348,8680.37013,4569.685792,0.048719875,2314.090909,4515.610959,0.051085304,2897.194444,4228.221918,Emilia-Romagna,Forlì-Cesena,Nord-est
Frontino,,,Frontino,0.049357674,5685.285714,141.8219178,0.015374275,15841.5,130.0874317,0.040327927,1602.6,123.9835616,0.023179509,1686,129.4246575,Marche,Pesaro e Urbino,Centro
Sant'Ippolito,,,Sant'Ippolito,0.039042563,4461.828571,896.4575342,0.023550153,3084,849.2513661,0.032698977,2134.428571,856.2958904,0.053804652,18143.84444,836.3589041,Marche,Pesaro e Urbino,Centro
Cupramontana,,,Cupramontana,0.033800627,12030.05814,2544.331507,0.028773089,3083.643836,2537.092896,0.044125001,9262.090909,2492.917808,0.034712683,2087.617284,2333.441096,Marche,Ancona,Centro
Ripe San Ginesio,,,Ripe San Ginesio,0.036287823,3316,468.4767123,0.017846041,3345.375,448.2786885,0.035666518,3512.9375,448.6,0.019927448,3909.111111,451.6383562,Marche,Macerata,Centro
Montopoli in Val d'Arno,,,Montopoli in Val d'Arno,0.054519435,4043.602941,4989.046575,0.049998214,8869.6,5200.185792,0.066394037,6137.050704,5346.865753,0.065762462,3557.708333,4744.347945,Toscana,Pisa,Centro
Forchia,,,Forchia,0.05728006,2966.466667,523.7424658,0.047700472,3326.8,524.1038251,0.070911652,3099.722222,507.6739726,0.066171525,2761.16129,468.4794521,Campania,Benevento,Sud
Salvitelle,,,Salvitelle,0.021823878,1073.8,229.1068493,0.02247053,146863.2,222.5136612,0.030168139,5022.714286,232.0328767,0.041910132,24082.88889,214.7452055,Campania,Salerno,Sud
Picciano,,,Picciano,0.047311492,2817.586207,612.9589041,0.02928026,1950.722222,614.7486339,0.045886511,1429.62963,588.4082192,0.042984869,2269.52,581.6,Abruzzo,Pescara,Sud
Caminata,Caminata,,Alta Val Tidone,0.028032434,2594.210526,1355.572603,0.026772434,1460.75,1344.666667,0.039943742,4665.351852,1351.90137,0.023250547,1770.444444,1161.263014,Emilia-Romagna,Piacenza,Nord-est
